# hostname	ip address	tap iface name	peer address	host port
isp-rtr-1	192.168.0.2/31	tap-isp-rtr-1	192.168.0.3/31	7001
isp-rtr-2	192.168.0.4/31	tap-isp-rtr-2	192.168.0.5/31	7002
edge-rtr-1	192.168.0.6/31	tap-edge-rtr-1	192.168.0.7/31	7003
edge-rtr-2	192.168.0.8/31	tap-edge-rtr-2	192.168.0.9/31	7004
edge-rtr-3	192.168.0.10/31	tap-edge-rtr-3	192.168.0.11/31	7005
edge-rtr-4	192.168.0.12/31	tap-edge-rtr-4	192.168.0.13/31	7006
fw-1		192.168.0.14/31	tap-fw-1	192.168.0.15/31	7007
fw-2		192.168.0.16/31	tap-fw-2	192.168.0.17/31	7008
fw-3		192.168.0.18/31	tap-fw-3	192.168.0.19/31	7009
fw-4		192.168.0.20/31	tap-fw-4	192.168.0.21/31	7010
fw-sw-1		192.168.0.22/31	tap-fw-sw-1	192.168.0.23/31	7011
fw-sw-2		192.168.0.24/31	tap-fw-sw-2	192.168.0.25/31	7012
fw-sw-3		192.168.0.26/31	tap-fw-sw-3	192.168.0.27/31	7013
fw-sw-4		192.168.0.28/31	tap-fw-sw-4	192.168.0.29/31	7014
core-rtr-1	192.168.0.30/31	tap-core-rtr-1	192.168.0.31/31	7015
core-rtr-2	192.168.0.32/31	tap-core-rtr-2	192.168.0.33/31	7016
core-rtr-3	192.168.0.34/31	tap-core-rtr-3	192.168.0.35/31	7017
core-rtr-4	192.168.0.36/31	tap-core-rtr-4	192.168.0.37/31	7018
dist-sw-0	192.168.0.38/31	tap-dist-sw-0	192.168.0.39/31	7019
dist-sw-1	192.168.0.40/31	tap-dist-sw-1	192.168.0.41/31	7020
dist-sw-2	192.168.0.42/31	tap-dist-sw-2	192.168.0.43/31	7021
dist-sw-3	192.168.0.44/31	tap-dist-sw-3	192.168.0.45/31	7022
dist-sw-4	192.168.0.46/31	tap-dist-sw-4	192.168.0.47/31	7023
dist-sw-5	192.168.0.48/31	tap-dist-sw-5	192.168.0.49/31	7024
dist-sw-6	192.168.0.50/31	tap-dist-sw-6	192.168.0.51/31	7025
dist-sw-7	192.168.0.52/31	tap-dist-sw-7	192.168.0.53/31	7026
dmz-rtr-1	192.168.0.54/31	tap-dmz-rtr-1	192.168.0.55/31	7027
dmz-sw-1	192.168.0.56/31	tap-dmz-sw-1	192.168.0.57/31	7028
host-3-2	192.168.0.58/31	veth-host-3-2	192.168.0.59/31	7029
host-3-3	192.168.0.60/31	veth-host-3-3	192.168.0.61/31	7030
host-3-6	192.168.0.62/31	veth-host-3-6	192.168.0.63/31	7031
host-8-0	192.168.0.64/31	veth-host-8-0	192.168.0.65/31	7032
host-8-1	192.168.0.66/31	veth-host-8-1	192.168.0.67/31	7033
host-8-5	192.168.0.68/31	veth-host-8-5	192.168.0.69/31	7034
host-8-7	192.168.0.70/31	veth-host-8-7	192.168.0.71/31	7035
host-44-0	192.168.0.72/31	veth-host-44-0	192.168.0.73/31	7036
host-44-2	192.168.0.74/31	veth-host-44-2	192.168.0.75/31	7037
host-44-4	192.168.0.76/31	veth-host-44-4	192.168.0.77/31	7038
host-44-5	192.168.0.78/31	veth-host-44-5	192.168.0.79/31	7039
host-44-6	192.168.0.80/31	veth-host-44-6	192.168.0.81/31	7040
host-44-7	192.168.0.82/31	veth-host-44-7	192.168.0.83/31	7041
host-dmz	192.168.0.84/31	veth-host-dmz	192.168.0.85/31	7042
